,date,$p/l,%p/l,SPY $p/l,SPY %p/l,percent liquid,cash balance
179,2008-09-17 00:00:00,-238.2132921218872,0.9523573415756226,-28.319992065429688,0.8045953667521151,0.6285952274478728,2993.2363986968994
180,2008-09-18 00:00:00,-150.01623678207397,0.9699967526435852,-24.85999298095703,0.8284689557904649,0.6785376107210161,3290.8963947296143
181,2008-09-19 00:00:00,-115.70476627349854,0.9768590467453003,-20.809989929199205,0.8564135032025245,0.722674661145803,3529.7564029693604
182,2008-09-22 00:00:00,-181.41039848327637,0.9637179203033447,-23.619995117187486,0.837024796033578,0.7325289545011919,3529.7564029693604
183,2008-09-23 00:00:00,-211.33654308319092,0.9577326913833618,-26.37998962402345,0.8179811567158678,0.7371068012455403,3529.7564029693604
184,2008-09-24 00:00:00,-221.12187385559082,0.9557756252288818,-25.99999237060547,0.8206030933240347,0.7386161165438972,3529.7564029693604
185,2008-09-25 00:00:00,-211.2387957572937,0.9577522408485413,-24.139991760253906,0.8334368800096693,0.7370917555550894,3529.7564029693604
186,2008-09-26 00:00:00,-202.14410638809204,0.9595711787223816,-24.079994201660156,0.8338508561472929,0.7356945438209274,3529.7564029693604
187,2008-09-29 00:00:00,-259.70197772979736,0.9480596044540405,-33.549995422363295,0.768508955234566,0.7446275289836957,3529.7564029693604
188,2008-09-30 00:00:00,-223.2723250389099,0.955345534992218,-28.939994812011733,0.8003174203095934,0.7389486366308526,3529.7564029693604
189,2008-10-01 00:00:00,-203.11759233474731,0.9593764815330506,-28.869995117187486,0.8008004100174646,0.6433837963223757,3086.2364139556885
190,2008-10-02 00:00:00,-224.1207194328308,0.9551758561134338,-33.079994201660156,0.7717519086910984,0.731944045437256,3495.6764011383057
191,2008-10-03 00:00:00,-250.88810443878174,0.9498223791122437,-34.589996337890625,0.7613330705448187,0.6364129723796772,3022.396417617798
192,2008-10-06 00:00:00,-360.1498203277588,0.9279700359344483,-40.209991455078125,0.7225557614907858,0.8182096475361151,3796.370180130005
193,2008-10-07 00:00:00,-424.88983726501465,0.9150220325469971,-44.899993896484375,0.6901952931376402,0.9125398126979632,4174.970170974731
194,2008-10-08 00:00:00,-440.8198413848877,0.9118360317230224,-47.41999053955077,0.672807611012355,0.9157282725679593,4174.970170974731
195,2008-10-09 00:00:00,-464.1298427581787,0.9071740314483643,-54.22999572753905,0.6258193716406554,1.0,4535.870157241821
196,2008-10-10 00:00:00,-464.1298427581787,0.9071740314483643,-56.42999267578125,0.610639649985913,1.0,4535.870157241821
197,2008-10-13 00:00:00,-464.1298427581787,0.9071740314483643,-43.579994201660156,0.6993031366588714,1.0,4535.870157241821
198,2008-10-14 00:00:00,-464.1298427581787,0.9071740314483643,-45.079994201660156,0.688953312082839,1.0,4535.870157241821
199,2008-10-15 00:00:00,-464.1298427581787,0.9071740314483643,-54.909996032714844,0.62112744906051,1.0,4535.870157241821
200,2008-10-16 00:00:00,-464.1298427581787,0.9071740314483643,-51.159996032714844,0.647002010500591,1.0,4535.870157241821
201,2008-10-17 00:00:00,-464.1298427581787,0.9071740314483643,-51.719993591308594,0.6431380928376232,1.0,4535.870157241821
202,2008-10-20 00:00:00,-464.1298427581787,0.9071740314483643,-46.119995117187486,0.6817774273930917,1.0,4535.870157241821
203,2008-10-21 00:00:00,-464.1298427581787,0.9071740314483643,-49.06999206542969,0.6614227934503332,1.0,4535.870157241821
204,2008-10-22 00:00:00,-464.1298427581787,0.9071740314483643,-54.28999328613281,0.6254053955030315,1.0,4535.870157241821
205,2008-10-23 00:00:00,-464.1298427581787,0.9071740314483643,-53.239990234375014,0.6326502937630262,1.0,4535.870157241821
206,2008-10-24 00:00:00,-464.1298427581787,0.9071740314483643,-57.889991760253906,0.6005658270489397,1.0,4535.870157241821
207,2008-10-27 00:00:00,-464.1298427581787,0.9071740314483643,-60.97999572753906,0.5792451610485093,1.0,4535.870157241821
208,2008-10-28 00:00:00,-464.1298427581787,0.9071740314483643,-51.16999053955077,0.6469330495722739,1.0,4535.870157241821
209,2008-10-29 00:00:00,-464.1298427581787,0.9071740314483643,-51.84999084472658,0.6422411269921284,1.0,4535.870157241821
210,2008-10-30 00:00:00,-464.1298427581787,0.9071740314483643,-48.62998962402345,0.6644587588380535,1.0,4535.870157241821
211,2008-10-31 00:00:00,-464.1298427581787,0.9071740314483643,-48.09999084472658,0.6681156884322095,1.0,4535.870157241821
212,2008-11-03 00:00:00,-464.1298427581787,0.9071740314483643,-47.81999206542969,0.6700476472636935,1.0,4535.870157241821
213,2008-11-04 00:00:00,-464.1298427581787,0.9071740314483643,-44.519989013671875,0.6928172823877369,1.0,4535.870157241821
214,2008-11-05 00:00:00,-499.52985191345215,0.9000940296173096,-48.739990234375014,0.6636997674911235,0.9107559899324941,4098.830144882202
215,2008-11-06 00:00:00,-556.0348763465881,0.8887930247306823,-54.06999206542969,0.6269233781968918,0.9042679281797562,4018.535135269165
216,2008-11-07 00:00:00,-556.2523813247681,0.8887495237350463,-51.06999206542969,0.6476230273489566,0.9043121887437813,4018.535135269165
217,2008-11-10 00:00:00,-590.3998746871948,0.8819200250625611,-52.299995422363295,0.6391361480341607,0.9113150900466516,4018.535135269165
218,2008-11-11 00:00:00,-597.5773730278015,0.8804845253944397,-55.159996032714844,0.6194024782978379,0.9128008543861553,4018.535135269165
219,2008-11-12 00:00:00,-609.1048464775085,0.8781790307044983,-59.10999298095703,0.5921479613043912,1.0,4390.8951535224915
220,2008-11-13 00:00:00,-609.1048464775085,0.8781790307044983,-53.75999450683592,0.6290623250971876,1.0,4390.8951535224915
221,2008-11-14 00:00:00,-609.1048464775085,0.8781790307044983,-58.30998992919922,0.5976678888017138,1.0,4390.8951535224915
222,2008-11-17 00:00:00,-609.1048464775085,0.8781790307044983,-59.459991455078125,0.5897330127650363,1.0,4390.8951535224915
223,2008-11-18 00:00:00,-609.1048464775085,0.8781790307044983,-57.84999084472656,0.6008418286879988,1.0,4390.8951535224915
224,2008-11-19 00:00:00,-609.1048464775085,0.8781790307044983,-63.42999267578125,0.562340468631095,1.0,4390.8951535224915
225,2008-11-20 00:00:00,-609.1048464775085,0.8781790307044983,-69.47999572753906,0.5205961551176589,1.0,4390.8951535224915
226,2008-11-21 00:00:00,-580.2565007209778,0.8839486998558045,-65.40999603271484,0.548678677028283,1.0,4419.743499279022
227,2008-11-24 00:00:00,-580.2565007209778,0.8839486998558045,-59.899993896484375,0.5866970473773159,1.0,4419.743499279022
228,2008-11-25 00:00:00,-580.2565007209778,0.8839486998558045,-59.269989013671875,0.5910440073900847,1.0,4419.743499279022
229,2008-11-26 00:00:00,-535.3164989352226,0.8929367002129555,-55.959991455078125,0.6138826034424453,1.0,4464.683501064777
230,2008-11-28 00:00:00,-535.3164989352226,0.8929367002129555,-54.839996337890625,0.621610438768381,1.0,4464.683501064777
231,2008-12-01 00:00:00,-535.3164989352226,0.8929367002129555,-62.81999206542969,0.5665494015033693,1.0,4464.683501064777
232,2008-12-02 00:00:00,-535.3164989352226,0.8929367002129555,-59.659996032714844,0.5883530045697407,1.0,4464.683501064777
233,2008-12-03 00:00:00,-535.3164989352226,0.8929367002129555,-57.60999298095703,0.6024977858804237,1.0,4464.683501064777
234,2008-12-04 00:00:00,-535.3164989352226,0.8929367002129555,-59.62998962402344,0.5885600452804826,1.0,4464.683501064777
235,2008-12-05 00:00:00,-526.8364879488945,0.8946327024102211,-56.99999237060547,0.6067067187526979,0.9488147468571116,4244.203505337238
236,2008-12-08 00:00:00,-510.8364879488945,0.8978327024102211,-53.92999267578125,0.6278893576126338,1.0,4489.1635120511055
