,date,$p/l,%p/l,SPY $p/l,SPY %p/l
0,2022-01-03 00:00:00,0.0,1.0,0.0,1.0
1,2022-01-04 00:00:00,0.0,1.0,-0.16000366210931816,0.9996650610936104
2,2022-01-05 00:00:00,0.0,1.0,-9.329986572265625,0.9804693501514444
3,2022-01-06 00:00:00,0.0,1.0,-9.769989013671818,0.979548284129639
4,2022-01-07 00:00:00,-2.8900012969970703,0.9994219997406005,-11.6199951171875,0.9756756288856475
5,2022-01-10 00:00:00,-5.950006484985352,0.9988099987030029,-12.199981689453125,0.9744615312476663
6,2022-01-11 00:00:00,-6.119994163513184,0.9987760011672974,-7.959991455078125,0.9833371886762668
7,2022-01-12 00:00:00,-5.439994812011719,0.9989120010375977,-6.69000244140625,0.9859956823992128
8,2022-01-13 00:00:00,-6.969997406005859,0.9986060005187988,-13.17999267578125,0.9724100544021788
9,2022-01-14 00:00:00,-7.310005187988281,0.9985379989624024,-12.989990234375,0.972807790360825
10,2022-01-18 00:00:00,-9.009995460510254,0.9981980009078979,-21.220001220703125,0.9555797416837186
11,2022-01-19 00:00:00,-13.089991569519043,0.9973820016860961,-25.959991455078125,0.9456574241287995
12,2022-01-20 00:00:00,-11.049993515014648,0.997790001296997,-30.959991455078125,0.9351908228656142
13,2022-01-21 00:00:00,-6.799993515014648,0.998640001296997,-39.72998046875,0.9168324272478902
14,2022-01-24 00:00:00,-6.159999847412109,0.9987680000305176,-37.8699951171875,0.9207259722539242
15,2022-01-25 00:00:00,-6.719995498657227,0.9986560009002685,-43.239990234375,0.9094848527185534
16,2022-01-26 00:00:00,-7.589988708496094,0.9984820022583007,-44.329986572265625,0.9072031413091467
17,2022-01-27 00:00:00,-22.46999454498291,0.9955060010910034,-46.470001220703125,0.9027234053046325
18,2022-01-28 00:00:00,-12.049997329711914,0.9975900005340577,-35.75997924804682,0.925142911206182
19,2022-01-31 00:00:00,9.330008506774902,1.001866001701355,-27.79998779296875,0.941805722529915
20,2022-02-01 00:00:00,16.670005798339844,1.0033340011596679,-24.759979248046818,0.9481694339851898
21,2022-02-02 00:00:00,9.910003662109375,1.0019820007324218,-20.3599853515625,0.95738003032018
22,2022-02-03 00:00:00,-4.409992218017578,0.9991180015563965,-31.1099853515625,0.9348768376043314
23,2022-02-04 00:00:00,9.689990997314453,1.001937998199463,-29.009979248046818,0.9392728229114823
24,2022-02-07 00:00:00,-1.7200050354003906,0.9996559989929199,-30.449981689453125,0.9362584366370397
25,2022-02-08 00:00:00,18.24001693725586,1.003648003387451,-26.769989013671818,0.9439618398348087
26,2022-02-09 00:00:00,-4.839977264404297,0.9990320045471192,-20.16998291015625,0.9577777662788262
27,2022-02-10 00:00:00,-27.26000213623047,0.9945479995727539,-28.389984130859318,0.9405706712468269
28,2022-02-11 00:00:00,-21.570011138916016,0.9956859977722168,-37.25,0.9220238205892689
29,2022-02-14 00:00:00,-27.0,0.9946,-38.69000244140625,0.9190094343148264
30,2022-02-15 00:00:00,-24.91999053955078,0.9950160018920898,-31.6099853515625,0.9338301774780129
31,2022-02-16 00:00:00,-30.579998016357422,0.9938840003967285,-31.1099853515625,0.9348768376043314
32,2022-02-17 00:00:00,-50.47001266479492,0.989905997467041,-40.649993896484375,0.9149065445069157
33,2022-02-18 00:00:00,-57.39000701904297,0.9885219985961914,-43.47998046875,0.9089824763005011
34,2022-02-22 00:00:00,-83.25,0.98335,-48.13998413085932,0.8992275962572447
35,2022-02-23 00:00:00,-86.81000518798828,0.9826379989624023,-55.75997924804682,0.8832765061534404
36,2022-02-24 00:00:00,-77.21000671386719,0.9845579986572266,-49.41000366210932,0.8965690386512344
37,2022-02-25 00:00:00,-54.529998779296875,0.9890940002441406,-39.959991455078125,0.9163509405918804
38,2022-02-28 00:00:00,-53.330013275146484,0.9893339973449707,-41.079986572265625,0.9140064321302172
39,2022-03-01 00:00:00,-47.73999786376953,0.9904520004272461,-47.72998046875,0.9000858652267935
40,2022-03-02 00:00:00,-26.070003509521484,0.9947859992980957,-39.819976806640625,0.9166440360911206
41,2022-03-03 00:00:00,-31.400012969970703,0.9937199974060058,-42.0,0.9120805493892428
42,2022-03-04 00:00:00,-42.5099983215332,0.9914980003356934,-45.53997802734375,0.9046702416907139
43,2022-03-07 00:00:00,-56.90999984741211,0.9886180000305176,-58.27999877929682,0.8780012982316339
44,2022-03-08 00:00:00,-38.89000701904297,0.9922219985961914,-61.459991455078125,0.8713445551601833
45,2022-03-09 00:00:00,-14.45999526977539,0.9971080009460449,-50.29998779296875,0.8947060168455808
46,2022-03-10 00:00:00,-23.23000717163086,0.9953539985656739,-52.22998046875,0.8906659240899266
47,2022-03-11 00:00:00,-34.09000778198242,0.9931819984436036,-57.63998413085932,0.8793410538571924
48,2022-03-14 00:00:00,-21.250015258789062,0.9957499969482422,-60.709991455078125,0.8729145453496611
49,2022-03-15 00:00:00,-1.5299949645996094,0.9996940010070801,-51.53997802734375,0.8921103201748913
50,2022-03-16 00:00:00,30.800010681152344,1.0061600021362305,-42.089996337890625,0.9118921582324732
51,2022-03-17 00:00:00,43.59999656677246,1.0087199993133544,-36.63998413085932,0.923300779162571
52,2022-03-18 00:00:00,56.22001838684082,1.0112440036773682,-33.19000244140625,0.9305226957043302
53,2022-03-21 00:00:00,43.40000343322754,1.0086800006866454,-33.319976806640625,0.9302506177332615
54,2022-03-22 00:00:00,51.83001708984375,1.0103660034179687,-28.1199951171875,0.9411358447171357
55,2022-03-23 00:00:00,17.65999412536621,1.0035319988250733,-33.91000366210932,0.9290155025671091
56,2022-03-24 00:00:00,25.339998245239258,1.005067999649048,-27.220001220703125,0.9430198201678962
57,2022-03-25 00:00:00,24.699989318847656,1.0049399978637696,-25.019989013671818,0.9476251502769236
58,2022-03-28 00:00:00,21.589984893798828,1.0043179969787597,-21.79998779296875,0.9543656440457374
59,2022-03-29 00:00:00,40.37999725341797,1.0080759994506836,-16.160003662109318,0.9661719370514172
60,2022-03-30 00:00:00,21.089996337890625,1.0042179992675782,-19.009979248046818,0.960206025437853
61,2022-03-31 00:00:00,1.6099872589111328,1.0003219974517823,-26.069976806640625,0.9454271895648804
62,2022-04-01 00:00:00,10.159992218017578,1.0020319984436035,-24.78997802734375,0.9481066369329332
63,2022-04-04 00:00:00,16.519989013671875,1.0033039978027343,-20.910003662109318,0.9562286658513911
64,2022-04-05 00:00:00,6.349969863891602,1.0012699939727783,-26.67999267578125,0.9441502309915782
65,2022-04-06 00:00:00,-10.670001983642578,0.9978659996032715,-31.19000244140625,0.9347093362096044
66,2022-04-07 00:00:00,0.6299972534179688,1.0001259994506837,-28.94000244140625,0.9394193067780379
67,2022-04-08 00:00:00,4.239986419677734,1.0008479972839355,-30.139984130859318,0.936907360804712
68,2022-04-11 00:00:00,-6.160001754760742,0.9987679996490478,-37.78997802734375,0.9208934736486512
69,2022-04-12 00:00:00,-12.27000617980957,0.997545998764038,-39.41998291015625,0.9174813514155624
70,2022-04-13 00:00:00,-1.120025634765625,0.9997759948730469,-34.399993896484375,0.9279897960858974
71,2022-04-14 00:00:00,-14.410014152526855,0.9971179971694947,-39.91998291015625,0.9164346912892439
72,2022-04-18 00:00:00,-10.63000774383545,0.9978739984512329,-39.739990234375,0.9168114736027831
73,2022-04-19 00:00:00,34.49001121520996,1.006898002243042,-32.66998291015625,0.9316112631208627
74,2022-04-20 00:00:00,47.14999008178711,1.0094299980163575,-33.0,0.9309204316629764
75,2022-04-21 00:00:00,-8.170015335083008,0.9983659969329834,-39.649993896484375,0.9169998647595528
76,2022-04-22 00:00:00,-41.380014419555664,0.9917239971160888,-51.66998291015625,0.8918381783207583
77,2022-04-25 00:00:00,-28.139999389648438,0.9943720001220703,-49.199981689453125,0.8970086819000944
78,2022-04-26 00:00:00,-79.83997535705566,0.9840320049285889,-61.6099853515625,0.8710305698989006
79,2022-04-27 00:00:00,-85.61002349853516,0.982877995300293,-60.44000244140625,0.8734797188199699
80,2022-04-28 00:00:00,-57.07000732421875,0.9885859985351563,-49.899993896484375,0.8955433321700227
81,2022-04-29 00:00:00,-100.76999473571777,0.9798460010528565,-65.70999145507812,0.8624479440864757
82,2022-05-02 00:00:00,-75.76999282836914,0.9848460014343262,-63.22998046875,0.8676394013109188
83,2022-05-03 00:00:00,-63.400007247924805,0.9873199985504151,-61.329986572265625,0.8716166970143164
84,2022-05-04 00:00:00,-42.02999687194824,0.9915940006256103,-48.649993896484375,0.8981599824858191
85,2022-05-05 00:00:00,-91.44001960754395,0.9817119960784912,-63.899993896484375,0.8662368486331037
86,2022-05-06 00:00:00,-84.56002044677734,0.9830879959106446,-66.3699951171875,0.8610663450537674
87,2022-05-09 00:00:00,-99.94002532958984,0.980011994934082,-79.53997802734375,0.8334973531010532
88,2022-05-10 00:00:00,-120.13000965118408,0.9759739980697631,-78.6199951171875,0.8354231719589633
89,2022-05-11 00:00:00,-150.88000774383545,0.9698239984512329,-84.95999145507812,0.822151529223212
90,2022-05-12 00:00:00,-125.00003147125244,0.9749999937057495,-85.3699951171875,0.821293260253663
91,2022-05-13 00:00:00,-87.14000606536865,0.9825719987869262,-75.989990234375,0.8409286144446891
92,2022-05-16 00:00:00,-103.67999458312988,0.979264001083374,-77.6199951171875,0.8375164922116004
93,2022-05-17 00:00:00,-71.48999309539795,0.9857020013809205,-69.38998413085932,0.8547445408887068
94,2022-05-18 00:00:00,-133.4100227355957,0.9733179954528809,-85.85000610351562,0.820288443534494
95,2022-05-19 00:00:00,-142.81000089645386,0.9714379998207092,-88.25,0.815264487704778
96,2022-05-20 00:00:00,-137.34999465942383,0.9725300010681153,-88.07998657226562,0.8156203802562746
97,2022-05-23 00:00:00,-127.46000146865845,0.9745079997062683,-80.78997802734375,0.8308807027852569
98,2022-05-24 00:00:00,-148.81000423431396,0.9702379991531372,-83.81997680664062,0.8245379449750891
99,2022-05-25 00:00:00,-120.43996953964233,0.9759120060920715,-80.33999633789062,0.831822658569105
100,2022-05-26 00:00:00,-72.23001384735107,0.9855539972305298,-72.39999389648438,0.8484436264856885
101,2022-05-27 00:00:00,-31.820024490356445,0.9936359951019287,-62.449981689453125,0.8692721885526532
102,2022-05-31 00:00:00,-52.63998460769653,0.9894720030784607,-64.77999877929682,0.8643947165894929
103,2022-06-01 00:00:00,-96.30005025863647,0.9807399899482727,-68.1199951171875,0.8574030346116526
104,2022-06-02 00:00:00,-42.10000944137573,0.9915799981117248,-60.319976806640625,0.8737309709120604
105,2022-06-03 00:00:00,-78.96999597549438,0.9842060008049012,-67.16998291015625,0.8593917144048836
106,2022-06-06 00:00:00,-63.50001287460327,0.9872999974250793,-65.91998291015625,0.8620083647206799
107,2022-06-07 00:00:00,-58.540000438690186,0.9882919999122619,-61.970001220703125,0.8702769413887578
108,2022-06-08 00:00:00,-76.63001489639282,0.9846739970207214,-66.489990234375,0.8608151568447413
109,2022-06-09 00:00:00,-130.53999185562134,0.9738920016288757,-76.26998901367182,0.8403424873292734
110,2022-06-10 00:00:00,-195.36000394821167,0.9609279992103577,-87.91000366210932,0.815976208924707
111,2022-06-13 00:00:00,-274.81001901626587,0.9450379961967468,-102.70999145507812,0.7849950947389038
112,2022-06-14 00:00:00,-290.23000478744507,0.941953999042511,-103.83999633789062,0.7826296326321337
113,2022-06-15 00:00:00,-267.01000356674194,0.9465979992866516,-98.50997924804682,0.7937870653532054
114,2022-06-16 00:00:00,-362.3199896812439,0.9275360020637512,-111.05999755859375,0.7675158578527714
115,2022-06-17 00:00:00,-329.48999071121216,0.9341020018577576,-111.85000610351562,0.7658621169659301
116,2022-06-21 00:00:00,-328.8699975013733,0.9342260004997254,-102.63998413085932,0.785141642488524
117,2022-06-22 00:00:00,-320.5600209236145,0.9358879958152772,-103.31997680664062,0.7837182000486661
118,2022-06-23 00:00:00,-267.92001962661743,0.9464159960746765,-99.64999389648438,0.7914006496013282
119,2022-06-24 00:00:00,-203.62999391555786,0.9592740012168884,-87.6300048828125,0.8165623360401226
120,2022-06-27 00:00:00,-216.6200032234192,0.9566759993553161,-89.1199951171875,0.813443309306274
121,2022-06-28 00:00:00,-247.36004400253296,0.9505279911994934,-97.05999755859375,0.7968223413896904
122,2022-06-29 00:00:00,-275.1500144004822,0.9449699971199036,-97.3699951171875,0.7961734172220181
123,2022-06-30 00:00:00,-283.47999906539917,0.9433040001869202,-100.45999145507812,0.7897050653073373
124,2022-07-01 00:00:00,-263.79001474380493,0.947241997051239,-96.47000122070312,0.7980573926727786
125,2022-07-05 00:00:00,-251.8500018119812,0.9496299996376037,-95.75,0.7995645858099999
126,2022-07-06 00:00:00,-266.51002073287964,0.9466979958534241,-94.45999145507812,0.8022649868231597
127,2022-07-07 00:00:00,-248.7999873161316,0.9502400025367737,-88.72000122070312,0.8142806246307159
128,2022-07-08 00:00:00,-251.82999753952026,0.9496340004920959,-89.03997802734375,0.813610810701001
129,2022-07-11 00:00:00,-264.4400134086609,0.9471119973182678,-93.47998046875,0.8043164636686473
130,2022-07-12 00:00:00,-270.09996461868286,0.9459800070762634,-96.8800048828125,0.7971991237032297
131,2022-07-13 00:00:00,-275.88999032974243,0.9448220019340515,-98.8800048828125,0.7930124831979556
132,2022-07-14 00:00:00,-315.9400086402893,0.9368119982719422,-99.79998779296875,0.7910866643400455
133,2022-07-15 00:00:00,-276.0999903678894,0.9447800019264221,-92.57998657226562,0.8062004391194078
134,2022-07-18 00:00:00,-286.75001668930054,0.9426499966621399,-95.75997924804682,0.7995436960479574
135,2022-07-19 00:00:00,-199.0300154685974,0.9601939969062805,-85.44000244140625,0.821146712504043
136,2022-07-20 00:00:00,-179.28004026412964,0.964143991947174,-82.94000244140625,0.8263800131356357
137,2022-07-21 00:00:00,-128.21003198623657,0.9743579936027527,-78.91998291015625,0.834795201436398
138,2022-07-22 00:00:00,-131.60001802444458,0.973679996395111,-82.6199951171875,0.827049890948415
139,2022-07-25 00:00:00,-123.4300446510315,0.9753139910697937,-82.13998413085932,0.828054707667584
140,2022-07-26 00:00:00,-139.5600447654724,0.9720879910469055,-86.81997680664062,0.8182579842171779
141,2022-07-27 00:00:00,-109.1500039100647,0.9781699992179871,-76.66998291015625,0.8395051720048313
142,2022-07-28 00:00:00,-53.24001932144165,0.9893519961357117,-71.63998413085932,0.8500345703202734
143,2022-07-29 00:00:00,-15.769988536834717,0.9968460022926331,-65.72000122070312,0.8624269904413687
144,2022-08-01 00:00:00,-11.030051708221436,0.9977939896583558,-66.94000244140625,0.8598731371778289
145,2022-08-02 00:00:00,-27.309995651245117,0.994538000869751,-69.64999389648438,0.8542002571804405
146,2022-08-03 00:00:00,-22.41005802154541,0.995517988395691,-63.25997924804682,0.8675766042586623
147,2022-08-04 00:00:00,-27.379996299743652,0.9945240007400513,-63.53997802734375,0.8669904771432465
148,2022-08-05 00:00:00,-18.3400297164917,0.9963319940567017,-64.239990234375,0.8655251274131748
149,2022-08-08 00:00:00,-2.7300004959106445,0.9994539999008178,-64.72000122070312,0.8645203106940058
150,2022-08-09 00:00:00,-27.55999755859375,0.9944880004882812,-66.3599853515625,0.8610872986988745
151,2022-08-10 00:00:00,16.850006103515625,1.0033700012207032,-57.720001220703125,0.8791735524624653
152,2022-08-11 00:00:00,37.380022048950195,1.0074760044097901,-57.720001220703125,0.8791735524624653
153,2022-08-12 00:00:00,71.5,1.0143,-50.6099853515625,0.8940570926779084
154,2022-08-15 00:00:00,70.24999809265137,1.0140499996185304,-48.850006103515625,0.8977412928820659
155,2022-08-16 00:00:00,63.769989013671875,1.0127539978027345,-48.00997924804682,0.8994997381113778
156,2022-08-17 00:00:00,49.759979248046875,1.0099519958496095,-51.05999755859375,0.893115073010996
157,2022-08-18 00:00:00,52.10999631881714,1.0104219992637635,-49.819976806640625,0.8957108335647498
158,2022-08-19 00:00:00,35.91999530792236,1.0071839990615845,-55.569976806640625,0.8836742421120866
159,2022-08-22 00:00:00,12.860003471374512,1.0025720006942749,-64.3599853515625,0.8652739392041486
160,2022-08-23 00:00:00,13.379988670349121,1.0026759977340698,-65.3599853515625,0.8631806189515115
161,2022-08-24 00:00:00,15.800000190734863,1.0031600000381469,-64.03997802734375,0.8659438170169279
162,2022-08-25 00:00:00,25.649988174438477,1.0051299976348878,-58.199981689453125,0.8781687996263607
163,2022-08-26 00:00:00,-4.189996242523193,0.9991620007514954,-72.39999389648438,0.8484436264856885
164,2022-08-29 00:00:00,-12.060003757476807,0.9975879992485046,-75.07998657226562,0.8428335435405566
165,2022-08-30 00:00:00,-27.490013599395752,0.9945019972801209,-79.5,0.8335810399153524
166,2022-08-31 00:00:00,-38.37000226974487,0.992325999546051,-82.52999877929682,0.8272382821051847
167,2022-09-01 00:00:00,-34.7500114440918,0.9930499977111816,-81.28997802734375,0.8298340426589383
168,2022-09-02 00:00:00,-48.18001985549927,0.9903639960289001,-85.47000122070312,0.8210839154517865
169,2022-09-06 00:00:00,-47.01002216339111,0.9905979955673218,-86.94998168945312,0.8179858423630447
170,2022-09-07 00:00:00,-9.490019798278809,0.9981019960403442,-79.92999267578125,0.8326809275386539
171,2022-09-08 00:00:00,-10.250016927719116,0.9979499966144562,-77.32998657226562,0.8381235729721231
172,2022-09-09 00:00:00,15.229986906051636,1.0030459973812103,-71.1099853515625,0.8511440274988483
173,2022-09-12 00:00:00,32.61999440193176,1.0065239988803865,-66.739990234375,0.8602918267815821
174,2022-09-13 00:00:00,-18.470029592514038,0.9963059940814972,-84.6099853515625,0.8228842040882478
175,2022-09-14 00:00:00,-21.120003938674927,0.995775999212265,-83.1099853515625,0.8260241844672034
176,2022-09-15 00:00:00,-24.70000433921814,0.9950599991321564,-87.58999633789062,0.8166460867374862
177,2022-09-16 00:00:00,-61.769999742507935,0.9876460000514984,-92.14999389648438,0.8071005514961063
178,2022-09-19 00:00:00,-52.000020265579224,0.9895999959468842,-89.16000366210932,0.8133595586089106
179,2022-09-20 00:00:00,-81.88000798225403,0.9836239984035492,-93.6199951171875,0.8040233681694071
180,2022-09-21 00:00:00,-87.2400004863739,0.9825519999027252,-100.31997680664062,0.7899981608065774
181,2022-09-22 00:00:00,-125.00000882148743,0.9749999982357025,-103.489990234375,0.7833623074971695
182,2022-09-23 00:00:00,-151.76003336906433,0.9696479933261871,-109.75997924804682,0.7702372125110383
183,2022-09-26 00:00:00,-199.08003067970276,0.9601839938640594,-113.39999389648438,0.7626174961275684
184,2022-09-27 00:00:00,-206.62000966072083,0.9586759980678559,-114.32998657226562,0.7606707236245513
185,2022-09-28 00:00:00,-142.1600306034088,0.9715679938793182,-107.17999267578125,0.7756379506542935
186,2022-09-29 00:00:00,-192.47002816200256,0.9615059943675995,-114.91998291015625,0.7594356723414631
187,2022-09-30 00:00:00,-216.01002717018127,0.9567979945659637,-120.52999877929688,0.7476921125049757
