,date,accession_number,ticker,quantity,price,total_trans_cost,total_shares_after_trans
0,2022-01-01 00:00:00,0001628945-22-000038,HLTH,239591.0,6.7,1605259.7,4121341.0
1,2022-01-02 00:00:00,0001127602-22-016365,JCI,72222.0,54.0,3899988.0,72222.0
2,2022-01-03 00:00:00,0001209191-22-026760,NNN,42536.0,45.8,1948148.7999999998,269225.0
3,2022-01-04 00:00:00,0001209191-22-022679,JHG,88942.0,33.73,3000013.6599999997,157399.0
4,2022-01-05 00:00:00,0000038725-22-000065,FELE,19890.0,83.56,1662008.4000000001,221761.0
5,2022-01-11 00:00:00,0001127602-22-014171,JCI,32837.0,51.77,1699971.49,32837.0
6,2022-01-11 00:00:00,0000038725-22-000070,FELE,19890.0,83.56,1662008.4000000001,189761.0
7,2022-01-12 00:00:00,0001062993-22-010093,PFG,84815.0,53.09,4502828.350000001,250700.0
8,2022-01-12 00:00:00,0001062993-22-010093,PFG,33005.0,62.78,2072053.9000000001,130545.0
9,2022-01-12 00:00:00,0001062993-22-010093,PFG,35340.0,63.98,2261053.1999999997,165885.0
10,2022-01-13 00:00:00,0001127602-22-014330,ARW,20278.0,123.29,2500074.62,20278.0
11,2022-01-17 00:00:00,0001493152-22-017142,BMIX,63763964.0,1.0,63763964.0,63763964.0
12,2022-01-18 00:00:00,0001225208-22-007175,BKI,35769.0,69.91,2500610.79,327454.73
13,2022-01-21 00:00:00,0001104659-22-048414,BSY,38913.0,44.38,1726958.9400000002,2413114.0
14,2022-02-01 00:00:00,0001628945-22-000038,HLTH,239591.0,6.7,1605259.7,4121341.0
15,2022-02-02 00:00:00,0001127602-22-016365,JCI,72222.0,54.0,3899988.0,72222.0
16,2022-02-03 00:00:00,0001209191-22-026760,NNN,42536.0,45.8,1948148.7999999998,269225.0
17,2022-02-04 00:00:00,0001209191-22-022679,JHG,88942.0,33.73,3000013.6599999997,157399.0
18,2022-02-05 00:00:00,0000038725-22-000065,FELE,19890.0,83.56,1662008.4000000001,221761.0
19,2022-02-11 00:00:00,0001127602-22-014171,JCI,32837.0,51.77,1699971.49,32837.0
20,2022-02-11 00:00:00,0000038725-22-000070,FELE,19890.0,83.56,1662008.4000000001,189761.0
21,2022-02-12 00:00:00,0001062993-22-010093,PFG,84815.0,53.09,4502828.350000001,250700.0
22,2022-02-12 00:00:00,0001062993-22-010093,PFG,33005.0,62.78,2072053.9000000001,130545.0
23,2022-02-12 00:00:00,0001062993-22-010093,PFG,35340.0,63.98,2261053.1999999997,165885.0
24,2022-02-13 00:00:00,0001127602-22-014330,ARW,20278.0,123.29,2500074.62,20278.0
25,2022-02-17 00:00:00,0001493152-22-017142,BMIX,63763964.0,1.0,63763964.0,63763964.0
26,2022-02-18 00:00:00,0001225208-22-007175,BKI,35769.0,69.91,2500610.79,327454.73
27,2022-02-21 00:00:00,0001104659-22-048414,BSY,38913.0,44.38,1726958.9400000002,2413114.0
28,2022-03-01 00:00:00,0001628945-22-000038,HLTH,239591.0,6.7,1605259.7,4121341.0
29,2022-03-02 00:00:00,0001127602-22-016365,JCI,72222.0,54.0,3899988.0,72222.0
30,2022-03-03 00:00:00,0001209191-22-026760,NNN,42536.0,45.8,1948148.7999999998,269225.0
31,2022-03-04 00:00:00,0001209191-22-022679,JHG,88942.0,33.73,3000013.6599999997,157399.0
32,2022-03-05 00:00:00,0000038725-22-000065,FELE,19890.0,83.56,1662008.4000000001,221761.0
33,2022-03-11 00:00:00,0001127602-22-014171,JCI,32837.0,51.77,1699971.49,32837.0
34,2022-03-11 00:00:00,0000038725-22-000070,FELE,19890.0,83.56,1662008.4000000001,189761.0
35,2022-03-12 00:00:00,0001062993-22-010093,PFG,84815.0,53.09,4502828.350000001,250700.0
36,2022-03-12 00:00:00,0001062993-22-010093,PFG,33005.0,62.78,2072053.9000000001,130545.0
37,2022-03-12 00:00:00,0001062993-22-010093,PFG,35340.0,63.98,2261053.1999999997,165885.0
38,2022-03-13 00:00:00,0001127602-22-014330,ARW,20278.0,123.29,2500074.62,20278.0
39,2022-03-17 00:00:00,0001493152-22-017142,BMIX,63763964.0,1.0,63763964.0,63763964.0
40,2022-03-18 00:00:00,0001225208-22-007175,BKI,35769.0,69.91,2500610.79,327454.73
41,2022-03-21 00:00:00,0001104659-22-048414,BSY,38913.0,44.38,1726958.9400000002,2413114.0
42,2022-04-01 00:00:00,0001628945-22-000038,HLTH,239591.0,6.7,1605259.7,4121341.0
43,2022-04-02 00:00:00,0001127602-22-016365,JCI,72222.0,54.0,3899988.0,72222.0
44,2022-04-03 00:00:00,0001209191-22-026760,NNN,42536.0,45.8,1948148.7999999998,269225.0
45,2022-04-04 00:00:00,0001209191-22-022679,JHG,88942.0,33.73,3000013.6599999997,157399.0
46,2022-04-05 00:00:00,0000038725-22-000065,FELE,19890.0,83.56,1662008.4000000001,221761.0
47,2022-04-11 00:00:00,0001127602-22-014171,JCI,32837.0,51.77,1699971.49,32837.0
48,2022-04-11 00:00:00,0000038725-22-000070,FELE,19890.0,83.56,1662008.4000000001,189761.0
49,2022-04-12 00:00:00,0001062993-22-010093,PFG,84815.0,53.09,4502828.350000001,250700.0
50,2022-04-12 00:00:00,0001062993-22-010093,PFG,33005.0,62.78,2072053.9000000001,130545.0
51,2022-04-12 00:00:00,0001062993-22-010093,PFG,35340.0,63.98,2261053.1999999997,165885.0
52,2022-04-13 00:00:00,0001127602-22-014330,ARW,20278.0,123.29,2500074.62,20278.0
53,2022-04-17 00:00:00,0001493152-22-017142,BMIX,63763964.0,1.0,63763964.0,63763964.0
54,2022-04-18 00:00:00,0001225208-22-007175,BKI,35769.0,69.91,2500610.79,327454.73
55,2022-04-21 00:00:00,0001104659-22-048414,BSY,38913.0,44.38,1726958.9400000002,2413114.0
56,2022-05-01 00:00:00,0001628945-22-000038,HLTH,239591.0,6.7,1605259.7,4121341.0
57,2022-05-02 00:00:00,0001127602-22-016365,JCI,72222.0,54.0,3899988.0,72222.0
58,2022-05-03 00:00:00,0001209191-22-026760,NNN,42536.0,45.8,1948148.7999999998,269225.0
59,2022-05-04 00:00:00,0001209191-22-022679,JHG,88942.0,33.73,3000013.6599999997,157399.0
60,2022-05-05 00:00:00,0000038725-22-000065,FELE,19890.0,83.56,1662008.4000000001,221761.0
61,2022-05-11 00:00:00,0001127602-22-014171,JCI,32837.0,51.77,1699971.49,32837.0
62,2022-05-11 00:00:00,0000038725-22-000070,FELE,19890.0,83.56,1662008.4000000001,189761.0
63,2022-05-12 00:00:00,0001062993-22-010093,PFG,84815.0,53.09,4502828.350000001,250700.0
64,2022-05-12 00:00:00,0001062993-22-010093,PFG,33005.0,62.78,2072053.9000000001,130545.0
65,2022-05-12 00:00:00,0001062993-22-010093,PFG,35340.0,63.98,2261053.1999999997,165885.0
66,2022-05-13 00:00:00,0001127602-22-014330,ARW,20278.0,123.29,2500074.62,20278.0
67,2022-05-17 00:00:00,0001493152-22-017142,BMIX,63763964.0,1.0,63763964.0,63763964.0
68,2022-05-18 00:00:00,0001225208-22-007175,BKI,35769.0,69.91,2500610.79,327454.73
69,2022-05-21 00:00:00,0001104659-22-048414,BSY,38913.0,44.38,1726958.9400000002,2413114.0
70,2022-06-01 00:00:00,0001628945-22-000038,HLTH,239591.0,6.7,1605259.7,4121341.0
71,2022-06-02 00:00:00,0001127602-22-016365,JCI,72222.0,54.0,3899988.0,72222.0
72,2022-06-03 00:00:00,0001209191-22-026760,NNN,42536.0,45.8,1948148.7999999998,269225.0
73,2022-06-04 00:00:00,0001209191-22-022679,JHG,88942.0,33.73,3000013.6599999997,157399.0
74,2022-06-05 00:00:00,0000038725-22-000065,FELE,19890.0,83.56,1662008.4000000001,221761.0
75,2022-06-11 00:00:00,0001127602-22-014171,JCI,32837.0,51.77,1699971.49,32837.0
76,2022-06-11 00:00:00,0000038725-22-000070,FELE,19890.0,83.56,1662008.4000000001,189761.0
77,2022-06-12 00:00:00,0001062993-22-010093,PFG,84815.0,53.09,4502828.350000001,250700.0
78,2022-06-12 00:00:00,0001062993-22-010093,PFG,33005.0,62.78,2072053.9000000001,130545.0
79,2022-06-12 00:00:00,0001062993-22-010093,PFG,35340.0,63.98,2261053.1999999997,165885.0
80,2022-06-13 00:00:00,0001127602-22-014330,ARW,20278.0,123.29,2500074.62,20278.0
81,2022-06-17 00:00:00,0001493152-22-017142,BMIX,63763964.0,1.0,63763964.0,63763964.0
82,2022-06-18 00:00:00,0001225208-22-007175,BKI,35769.0,69.91,2500610.79,327454.73
83,2022-06-21 00:00:00,0001104659-22-048414,BSY,38913.0,44.38,1726958.9400000002,2413114.0
84,2022-07-01 00:00:00,0001628945-22-000038,HLTH,239591.0,6.7,1605259.7,4121341.0
85,2022-07-02 00:00:00,0001127602-22-016365,JCI,72222.0,54.0,3899988.0,72222.0
86,2022-07-03 00:00:00,0001209191-22-026760,NNN,42536.0,45.8,1948148.7999999998,269225.0
87,2022-07-04 00:00:00,0001209191-22-022679,JHG,88942.0,33.73,3000013.6599999997,157399.0
88,2022-07-05 00:00:00,0000038725-22-000065,FELE,19890.0,83.56,1662008.4000000001,221761.0
89,2022-07-11 00:00:00,0001127602-22-014171,JCI,32837.0,51.77,1699971.49,32837.0
90,2022-07-11 00:00:00,0000038725-22-000070,FELE,19890.0,83.56,1662008.4000000001,189761.0
91,2022-07-12 00:00:00,0001062993-22-010093,PFG,84815.0,53.09,4502828.350000001,250700.0
92,2022-07-12 00:00:00,0001062993-22-010093,PFG,33005.0,62.78,2072053.9000000001,130545.0
93,2022-07-12 00:00:00,0001062993-22-010093,PFG,35340.0,63.98,2261053.1999999997,165885.0
94,2022-07-13 00:00:00,0001127602-22-014330,ARW,20278.0,123.29,2500074.62,20278.0
95,2022-07-17 00:00:00,0001493152-22-017142,BMIX,63763964.0,1.0,63763964.0,63763964.0
96,2022-07-18 00:00:00,0001225208-22-007175,BKI,35769.0,69.91,2500610.79,327454.73
97,2022-07-21 00:00:00,0001104659-22-048414,BSY,38913.0,44.38,1726958.9400000002,2413114.0
98,2022-08-01 00:00:00,0001628945-22-000038,HLTH,239591.0,6.7,1605259.7,4121341.0
99,2022-08-02 00:00:00,0001127602-22-016365,JCI,72222.0,54.0,3899988.0,72222.0
100,2022-08-03 00:00:00,0001209191-22-026760,NNN,42536.0,45.8,1948148.7999999998,269225.0
101,2022-08-04 00:00:00,0001209191-22-022679,JHG,88942.0,33.73,3000013.6599999997,157399.0
102,2022-08-05 00:00:00,0000038725-22-000065,FELE,19890.0,83.56,1662008.4000000001,221761.0
103,2022-08-11 00:00:00,0001127602-22-014171,JCI,32837.0,51.77,1699971.49,32837.0
104,2022-08-11 00:00:00,0000038725-22-000070,FELE,19890.0,83.56,1662008.4000000001,189761.0
105,2022-08-12 00:00:00,0001062993-22-010093,PFG,84815.0,53.09,4502828.350000001,250700.0
106,2022-08-12 00:00:00,0001062993-22-010093,PFG,33005.0,62.78,2072053.9000000001,130545.0
107,2022-08-12 00:00:00,0001062993-22-010093,PFG,35340.0,63.98,2261053.1999999997,165885.0
108,2022-08-13 00:00:00,0001127602-22-014330,ARW,20278.0,123.29,2500074.62,20278.0
109,2022-08-17 00:00:00,0001493152-22-017142,BMIX,63763964.0,1.0,63763964.0,63763964.0
110,2022-08-18 00:00:00,0001225208-22-007175,BKI,35769.0,69.91,2500610.79,327454.73
111,2022-08-21 00:00:00,0001104659-22-048414,BSY,38913.0,44.38,1726958.9400000002,2413114.0
112,2022-09-01 00:00:00,0001628945-22-000038,HLTH,239591.0,6.7,1605259.7,4121341.0
113,2022-09-02 00:00:00,0001127602-22-016365,JCI,72222.0,54.0,3899988.0,72222.0
114,2022-09-03 00:00:00,0001209191-22-026760,NNN,42536.0,45.8,1948148.7999999998,269225.0
115,2022-09-04 00:00:00,0001209191-22-022679,JHG,88942.0,33.73,3000013.6599999997,157399.0
116,2022-09-05 00:00:00,0000038725-22-000065,FELE,19890.0,83.56,1662008.4000000001,221761.0
117,2022-09-11 00:00:00,0001127602-22-014171,JCI,32837.0,51.77,1699971.49,32837.0
118,2022-09-11 00:00:00,0000038725-22-000070,FELE,19890.0,83.56,1662008.4000000001,189761.0
119,2022-09-12 00:00:00,0001062993-22-010093,PFG,84815.0,53.09,4502828.350000001,250700.0
120,2022-09-12 00:00:00,0001062993-22-010093,PFG,33005.0,62.78,2072053.9000000001,130545.0
121,2022-09-12 00:00:00,0001062993-22-010093,PFG,35340.0,63.98,2261053.1999999997,165885.0
122,2022-09-13 00:00:00,0001127602-22-014330,ARW,20278.0,123.29,2500074.62,20278.0
123,2022-09-17 00:00:00,0001493152-22-017142,BMIX,63763964.0,1.0,63763964.0,63763964.0
124,2022-09-18 00:00:00,0001225208-22-007175,BKI,35769.0,69.91,2500610.79,327454.73
125,2022-09-21 00:00:00,0001104659-22-048414,BSY,38913.0,44.38,1726958.9400000002,2413114.0
126,2022-10-01 00:00:00,0001628945-22-000038,HLTH,239591.0,6.7,1605259.7,4121341.0
127,2022-10-02 00:00:00,0001127602-22-016365,JCI,72222.0,54.0,3899988.0,72222.0
128,2022-10-03 00:00:00,0001209191-22-026760,NNN,42536.0,45.8,1948148.7999999998,269225.0
129,2022-10-04 00:00:00,0001209191-22-022679,JHG,88942.0,33.73,3000013.6599999997,157399.0
130,2022-10-05 00:00:00,0000038725-22-000065,FELE,19890.0,83.56,1662008.4000000001,221761.0
131,2022-10-11 00:00:00,0001127602-22-014171,JCI,32837.0,51.77,1699971.49,32837.0
132,2022-10-11 00:00:00,0000038725-22-000070,FELE,19890.0,83.56,1662008.4000000001,189761.0
133,2022-10-12 00:00:00,0001062993-22-010093,PFG,84815.0,53.09,4502828.350000001,250700.0
134,2022-10-12 00:00:00,0001062993-22-010093,PFG,33005.0,62.78,2072053.9000000001,130545.0
135,2022-10-12 00:00:00,0001062993-22-010093,PFG,35340.0,63.98,2261053.1999999997,165885.0
136,2022-10-13 00:00:00,0001127602-22-014330,ARW,20278.0,123.29,2500074.62,20278.0
137,2022-10-17 00:00:00,0001493152-22-017142,BMIX,63763964.0,1.0,63763964.0,63763964.0
138,2022-10-18 00:00:00,0001225208-22-007175,BKI,35769.0,69.91,2500610.79,327454.73
139,2022-10-21 00:00:00,0001104659-22-048414,BSY,38913.0,44.38,1726958.9400000002,2413114.0
140,2022-11-01 00:00:00,0001628945-22-000038,HLTH,239591.0,6.7,1605259.7,4121341.0
141,2022-11-02 00:00:00,0001127602-22-016365,JCI,72222.0,54.0,3899988.0,72222.0
142,2022-11-03 00:00:00,0001209191-22-026760,NNN,42536.0,45.8,1948148.7999999998,269225.0
143,2022-11-04 00:00:00,0001209191-22-022679,JHG,88942.0,33.73,3000013.6599999997,157399.0
144,2022-11-05 00:00:00,0000038725-22-000065,FELE,19890.0,83.56,1662008.4000000001,221761.0
145,2022-11-11 00:00:00,0001127602-22-014171,JCI,32837.0,51.77,1699971.49,32837.0
146,2022-11-11 00:00:00,0000038725-22-000070,FELE,19890.0,83.56,1662008.4000000001,189761.0
147,2022-11-12 00:00:00,0001062993-22-010093,PFG,84815.0,53.09,4502828.350000001,250700.0
148,2022-11-12 00:00:00,0001062993-22-010093,PFG,33005.0,62.78,2072053.9000000001,130545.0
149,2022-11-12 00:00:00,0001062993-22-010093,PFG,35340.0,63.98,2261053.1999999997,165885.0
