,date,accession_number,ticker,quantity,price,total_trans_cost,total_shares_after_trans
0,2022-01-01 00:00:00,0000921895-22-000712,Y,1555.0,662.27,1029829.85,5520.0
1,2022-01-01 00:00:00,0001127602-22-007395,AXL,121491.0,9.26,1125006.66,758252.0
2,2022-01-01 00:00:00,0001127602-22-002883,AXP,28526.0,177.06,5050813.5600000005,75934.24
3,2022-01-01 00:00:00,0001127602-22-002881,AXP,9549.0,177.06,1690745.94,12610.72
4,2022-01-01 00:00:00,0001127602-22-002879,AXP,30507.0,177.06,5401569.42,36482.0
5,2022-01-01 00:00:00,0001127602-22-002877,AXP,35657.0,177.06,6313428.42,121781.63
6,2022-01-01 00:00:00,0001127602-22-002877,AXP,5942.0,177.06,1052090.52,108835.63
7,2022-01-01 00:00:00,0001127602-22-002875,AXP,23375.0,177.06,4138777.5,40975.05
8,2022-01-01 00:00:00,0001127602-22-002873,AXP,15451.0,177.06,2735754.06,31095.83
9,2022-01-01 00:00:00,0001127602-22-002859,AXP,32488.0,177.06,5752325.28,129910.66
10,2022-01-01 00:00:00,0001127602-22-002857,AXP,17952.0,177.06,3178581.12,30186.0
11,2022-01-01 00:00:00,0001127602-22-002853,AXP,11885.0,177.06,2104358.1,70690.85
12,2022-01-01 00:00:00,0001127602-22-002851,AXP,38034.0,177.06,6734300.04,119893.25
13,2022-01-01 00:00:00,0001562180-22-000831,ALLY,28965.0,46.77,1354693.05,123362.0
14,2022-01-01 00:00:00,0001562180-22-000830,ALLY,28965.0,46.77,1354693.05,226175.0
15,2022-01-01 00:00:00,0001562180-22-000827,ALLY,29927.0,46.77,1399685.79,156515.0
16,2022-01-02 00:00:00,0001545711-22-000004,IPG,81766.0,36.69,2999994.54,535633.0
17,2022-01-02 00:00:00,0001545711-22-000004,IPG,66998.0,36.69,2458156.6199999996,602631.0
18,2022-01-02 00:00:00,0001545711-22-000003,IPG,44382.0,36.69,1628375.5799999998,186963.0
19,2022-01-02 00:00:00,0001638833-22-000028,SGRY,29732.0,42.04,1249933.28,391449.0
20,2022-01-02 00:00:00,0001127602-22-007620,UMPQ,51522.0,21.35,1099994.7000000002,227199.0
21,2022-01-02 00:00:00,0001127602-22-003070,A,17869.0,161.39,2883877.9099999997,72818.78
22,2022-01-03 00:00:00,0001209191-22-016046,HII,7953.0,204.15,1623604.95,13643.31
23,2022-01-03 00:00:00,0001209191-22-016044,HII,5533.0,204.15,1129561.95,29945.89
24,2022-01-03 00:00:00,0001209191-22-016042,HII,7953.0,204.15,1623604.95,13613.97
25,2022-01-03 00:00:00,0001209191-22-016038,HII,10375.0,204.15,2118056.25,62731.88
26,2022-01-03 00:00:00,0001179929-22-000042,MOH,3527.0,311.88,1100000.76,19818.0
27,2022-01-03 00:00:00,0001179929-22-000041,MOH,17342.0,311.88,5408622.96,69074.0
28,2022-01-03 00:00:00,0001179929-22-000041,MOH,4168.0,311.88,1299915.84,53938.0
29,2022-01-03 00:00:00,0001179929-22-000039,MOH,3527.0,311.88,1100000.76,80806.0
30,2022-01-03 00:00:00,0001179929-22-000039,MOH,17342.0,311.88,5408622.96,94127.0
31,2022-01-03 00:00:00,0001179929-22-000037,MOH,17342.0,311.88,5408622.96,54024.0
32,2022-01-03 00:00:00,0001179929-22-000037,MOH,4810.0,311.88,1500142.8,39676.0
33,2022-01-03 00:00:00,0001601712-22-000095,SYF,29643.0,39.47,1170009.21,97662.0
34,2022-01-03 00:00:00,0001601712-22-000092,SYF,34204.0,39.47,1350031.88,123746.0
35,2022-01-03 00:00:00,0001601712-22-000089,SYF,25653.0,39.47,1012523.9099999999,94029.0
36,2022-01-03 00:00:00,0001601712-22-000086,SYF,28503.0,39.47,1125013.41,181414.0
37,2022-01-03 00:00:00,0001601712-22-000085,SYF,25653.0,39.47,1012523.9099999999,89235.0
38,2022-01-03 00:00:00,0001445305-22-000019,WK,23168.0,119.68,2772746.24,84122.0
39,2022-01-03 00:00:00,0001445305-22-000017,WK,27574.0,119.68,3300056.3200000003,311151.0
